1600,17353300,433832,1227,30
3200,9393200,234830,1164,29
4800,4956000,123900,1194,29
6400,3916300,97907,1152,28
8000,5595600,139890,1179,29
9600,2744200,68605,1203,30
11200,2897600,72440,1188,29
12800,2628000,65700,1230,30
14400,2273100,56827,1191,29
16000,17588500,439712,1200,30
17600,2329900,58247,1227,30
19200,2233800,55845,1206,30
